GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smart-wardrobe,com.example.smartwardrobe.model,Item,42,84,0,0,2,36,2,24,2,24
smart-wardrobe,com.example.smartwardrobe.model,Coat,21,21,0,0,3,9,3,6,3,6
smart-wardrobe,com.example.smartwardrobe.model,Outfit,30,56,0,0,2,24,2,16,2,16
smart-wardrobe,com.example.smartwardrobe.model,History,36,0,0,0,11,0,8,0,8,0
smart-wardrobe,com.example.smartwardrobe.model,User,70,99,0,0,2,38,2,24,2,24
smart-wardrobe,com.example.smartwardrobe.model,LoginRequest,17,0,0,0,7,0,5,0,5,0
smart-wardrobe,default,MQTTTRY,29,0,0,0,9,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe,SmartWardrobeApplication,8,0,0,0,3,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe,Config,137,0,0,0,30,0,7,0,7,0
smart-wardrobe,com.example.smartwardrobe,PasswordConfig,7,0,0,0,2,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.colorpalette,ColorGenerator,758,0,30,0,70,0,23,0,8,0
smart-wardrobe,com.example.smartwardrobe.service.impl,ItemServiceImpl,80,185,4,14,19,44,4,20,1,14
smart-wardrobe,com.example.smartwardrobe.service.impl,UserDetailsServiceImpl,15,30,1,1,2,8,1,2,0,2
smart-wardrobe,com.example.smartwardrobe.service.impl,UserServiceImpl,72,67,4,0,23,14,4,6,2,6
smart-wardrobe,com.example.smartwardrobe.service.impl,HistoryServiceImpl,50,0,0,0,11,0,7,0,7,0
smart-wardrobe,com.example.smartwardrobe.service.impl,OutfitServiceImpl,174,95,3,3,39,21,9,8,7,7
smart-wardrobe,com.example.smartwardrobe.authentication,UsernameAndPasswordAuthenticationRequest,17,0,0,0,7,0,5,0,5,0
smart-wardrobe,com.example.smartwardrobe.authentication,UsernameAndPasswordFilter,77,0,0,0,19,0,4,0,4,0
smart-wardrobe,com.example.smartwardrobe.authentication,HeaderStringFilter,79,0,2,0,19,0,3,0,2,0
smart-wardrobe,com.example.smartwardrobe.authentication,AuthenticationException,5,0,0,0,2,0,1,0,1,0
smart-wardrobe,com.example.smartwardrobe.authentication,BasicAuthEntryPoint,8,0,0,0,3,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.service,MainService,4,0,0,0,2,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.enums,WashingZoneColor,0,34,0,0,0,4,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,HairColor,0,34,0,0,0,4,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,ItemCategory,0,74,0,0,0,8,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,Size,0,64,0,0,0,7,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,ItemColor,0,594,0,0,0,9,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,Material,0,44,0,0,0,5,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,Gender,0,24,0,0,0,3,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,CoatCategory,0,24,0,0,0,3,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,EyeColor,0,44,0,0,0,5,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.enums,Style,0,34,0,0,0,2,0,1,0,1
smart-wardrobe,com.example.smartwardrobe.weather,WeatherGrabber,241,0,2,0,40,0,9,0,8,0
smart-wardrobe,com.example.smartwardrobe.weather,IpInformation,40,0,0,0,13,0,7,0,7,0
smart-wardrobe,com.example.smartwardrobe.weather,Weather,57,0,2,0,18,0,9,0,8,0
smart-wardrobe,com.example.smartwardrobe.selfie_webcam,Webcam,21,0,0,0,6,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.controller,AuthController,127,0,10,0,29,0,10,0,5,0
smart-wardrobe,com.example.smartwardrobe.controller,MQTTController,97,0,0,0,30,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.controller,UserController,10,3,0,0,2,1,2,1,2,1
smart-wardrobe,com.example.smartwardrobe.controller,ItemController,8,47,0,2,1,12,1,9,1,8
smart-wardrobe,com.example.smartwardrobe.controller,HistoryController,23,7,0,0,4,2,3,2,3,2
smart-wardrobe,com.example.smartwardrobe.controller,WeatherController,34,0,0,0,9,0,2,0,2,0
smart-wardrobe,com.example.smartwardrobe.controller,OutfitController,20,12,0,0,3,4,3,3,3,3
smart-wardrobe,com.example.smartwardrobe.model.dto,HistoryDto,152,0,24,0,9,0,23,0,11,0
smart-wardrobe,com.example.smartwardrobe.model.dto,ItemDto,501,0,90,0,37,0,75,0,30,0
smart-wardrobe,com.example.smartwardrobe.model.dto,CoatDto,115,0,22,0,7,0,20,0,9,0
smart-wardrobe,com.example.smartwardrobe.model.dto,OutfitDto,155,0,30,0,10,0,26,0,11,0
